,COUNTY,NAME
1093,53,Flintville Fire Hall
1138,53,FNB Community Room
1095,53,Lincoln Community Center
1096,53,South Lincoln
1097,53,Armory
1098,53,Fayetteville CPC
1099,53,Taft Baptist Church
1094,53,Kelso Cumberland Presbyterian Church
1092,53,Elora Community Center
1104,53,Petersburg
1103,53,Howell
1109,53,Mulberry Fire Hall
1108,53,Belleville Community Center
1100,53,Molino
1105,53,Recreation Center
1106,53,Liberty
1107,53,Calvary Baptist Fellowship Hall
1137,53,Maranatha
1102,53,Blanche
1101,53,Boonshill Community Center
771,54,Lenoir City Outside
797,54,Tellico Village North
1142,54,Philadelphia
767,54,Greenback
768,54,Glendale
1139,54,Luttrell
1140,54,Loudon Outside
1141,54,Loudon
773,54,Eatons
772,54,Browder
1143,54,Davis
769,54,Loudon Mt Zion
770,54,Lenoir City
796,54,Tellico Village South
1712,54,Highland Park
831,55,Westside Elementary School
798,55,Red Boiling Springs High School
834,55,Central Elementary School
833,55,Macon County Welcome Center
832,55,Cross Roads Community Center
828,55,Willette Community Center
830,55,Macon County Junior High School
860,55,National Guard Armory
859,55,Lafayette Elementary School
829,55,Macon County High School
928,56,1-2 Mt. Moriah Baptist Church
950,56,5-1 Jackson Careers and Technology
951,56,5-2 Macedonia Baptist Church
963,56,8-1 Beech Bluff Baptist Church
882,56,2-3 Community Montessori School
926,56,4-1 Masonic Temple Lodge #45
914,56,4-3 Festivities Events Place
913,56,4-2 Andrew Jackson School
912,56,2-2 Aldersgate United Methodist Church
1003,56,6-1 South Side High School
952,56,5-3 North Parkway School
881,56,2-1 Alexander Elementary School
962,56,8-3 Mifflin Road Fire Station
953,56,7-1 UT Agricultural Experiment Station
861,56,10-3 North Side High School
862,56,9-3 Three Way City Meeting Room
964,56,8-2 Browns United Methodist Church
961,56,8-4 East Union Ruritan Center
960,56,8-5 Lesters Fire Station
959,56,6-2 South Elementary School
958,56,6-4 Medon City Hall
1012,56,10-1 Spring Creek Fire Station #7
957,56,6-3 Malesus Community Center
984,56,10-2 North East School
955,56,7-3 Denmark West Community Center
985,56,3-1 Madison Co Board of Ed.
986,56,3-3 Madison County Veterans Services
954,56,7-2 TN Technology Center
1000,56,3-2 Old Bells Fire Station
1001,56,9-1 VFW Post 1848
1002,56,9-2 Pope Elementary School
956,56,7-4 Mercer Fire Station
927,56,1-1 Carl Perkins Civic Center
1807,57,River Canyon
1808,57,Waldens Ridge
1049,57,South Pittsburg
1818,57,Haletown-Ladds
1030,57,Shellmound
1072,57,Whitwell
1071,57,Powells Crossroads
1070,57,Foster Falls
1069,57,Jasper
1068,57,New Hope
1073,57,Whitwell Mtn. FD
1051,57,Monteagle
1050,57,Lodge
1821,57,Elder Mountain
1820,57,Sequatchie
1048,57,Orme
1052,57,Kimball
1111,58,McKnight Center
1110,58,Chapel Hill
1080,58,Hardison School
1079,58,Parkview Baptist
1077,58,Henry Horton State Park
1076,58,Belfast
1075,58,Lewisburg Gas Dept.
